paradigm,metric,removed_band,removed_good_lemma,removed_bad_lemma,baseline_difference,after_difference,sign_change
passive_1,accuracy,head,blame,struggle,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,celebrate,reply,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,confront,testify,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,crown,object,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,defend,participate,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,earn,occur,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,exhibit,proceed,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,hate,listen,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,host,exist,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,impose,emerge,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,include,happen,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,insure,vanish,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,introduce,arrive,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,lease,apologize,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,lend,opt,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,load,respond,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,measure,laugh,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,rate,result,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,rob,belong,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,score,remain,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,send,die,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,sum,compete,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,target,lie,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,thank,matter,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,head,upgrade,complain,0.010000000000000009,0.010000000000000009,0
passive_1,accuracy,xtail,blab,loll,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,blaspheme,seethe,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,clout,grouse,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,crate,lumber,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,daub,resound,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,debug,tingle,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,disabuse,sidle,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,disgorge,exult,0.010000000000000009,0.010204081632653073,0
